Designator,Mid X,Mid Y,Rotation,Layer
D1,77.724,-115.824,0.0,bottom
D2,77.724,-96.52,0.0,bottom
D3,77.598,-54.864,0.0,bottom
D4,100.584,-115.824,0.0,bottom
D5,100.584,-96.52,0.0,bottom
D6,88.9,-59.436,270.0,bottom
D7,123.444,-115.824,0.0,bottom
D8,123.444,-96.52,0.0,bottom
D9,123.826,-54.864,0.0,bottom
J1,74.676,-74.168,180.0,bottom
Logo,97.79,-81.28,0.0,bottom
S1,77.9,-120.5,0.0,top
S2,77.9,-101.5,0.0,top
S3,77.9,-59.7,0.0,top
S4,100.7,-120.5,0.0,top
S5,100.7,-101.5,0.0,top
S6,100.7,-59.6,270.0,top
S7,123.5,-120.5,0.0,top
S8,123.5,-101.5,0.0,top
S9,123.5,-59.7,0.0,top
SW1,134.112,-97.79,270.0,bottom
